ID,Prof,Rating_Weight_1,Rating_Weight_2,Rating_Weight_3,Rating_Weight_4,Rating_Weight_5,Rating_Weight_6,Rating_Weight_7,Rating_Weight_8,Rating_Weight_9,Rating_Weight_10,Rating_Weight_11,Ranking_Weight_1,Ranking_Weight_2,Ranking_Weight_3,Ranking_Weight_4,Ranking_Weight_5,Ranking_Weight_6,Ranking_Weight_7,Ranking_Weight_8,Ranking_Weight_9,Ranking_Weight_10,Ranking_Weight_11
R_e5L1GqAemwXivmh,Very Experienced: architecture professional,7,7,8,8,5,8,9,8,9,6,6,4,5,9,1,10,7,2,3,6,8,11
R_2YmKJysY20iw8sL,No experience: no architectural or construction training,5,5,7,7,8,9,7,7,7,8,8,9,6,10,4,2,5,1,7,3,8,11
R_A0ekWAjvmqAbQkN,Very Experienced: architecture professional,6,6,8,4,5,4,6,5,6,7,5,10,4,9,2,6,5,3,1,8,7,11
R_3KqNv1LqUyOgAIM,Somewhat experienced: architecture student,7,6,7,8,7,6,5,4,8,4,5,11,5,8,9,10,4,2,7,1,3,6
R_PFX1Rj3tz1DKepr,Somewhat experienced: architecture student,7,5,6,6,8,9,6,9,6,5,9,6,11,4,5,7,1,10,2,9,8,3
R_3HAL1X3ubb6738z,Somewhat experienced: architecture student,4,7,9,6,8,5,4,9,8,9,10,10,4,3,2,7,1,8,11,6,5,9
R_uz9H1UaigqGRyWR,Somewhat experienced: architecture student,5,8,9,8,4,8,6,6,8,5,9,9,2,7,5,1,3,10,4,8,6,11
R_6qUFHs2xubiXu0x,Very Experienced: architecture professional,6,6,5,7,5,7,4,5,8,9,5,1,4,2,5,3,6,11,9,7,8,10
R_2Xbn2zbBHGmH3qd,Somewhat experienced: architecture student,7,5,5,5,8,6,3,4,3,3,4,3,5,10,9,6,4,11,2,1,8,7
R_3I5ZE5akLaV1kzn,Very Experienced: architecture professional,7,8,9,8,8,9,8,9,9,9,9,2,1,9,11,4,7,8,10,3,5,6
R_22Vb9g29wKUcJLA,Very Experienced: architecture professional,10,10,10,10,10,NA,10,10,10,10,10,7,5,3,4,6,11,1,9,10,2,8
R_QcudJ2Rf0emocF3,Somewhat experienced: architecture student,9,2,5,8,3,4,9,4,5,7,3,3,9,11,8,5,4,2,1,10,7,6
R_3qWDDS9c8cpL2ul,Somewhat experienced: architecture student,7,9,3,5,9,8,6,8,8,9,10,8,6,1,10,2,4,3,9,7,5,11
