Variable,Description,Codes/Values
ID,Unique Participant Identifier,Factor stored as a string
Prof,Professional Experience,"Factor stored as a string,(No experience: no architectural or construction training,Somewhat experienced: architecture student,Very Experienced: architecture professional) "
Rating_Weight_1,Flexibility Factor Rating: Structural Modularity,"Numeric [1,10]"
Rating_Weight_2,Flexibility Factor Rating: Floor to Ceiling Height,"Numeric [1,10]"
Rating_Weight_3,Flexibility Factor Rating: Geometrical Regularity of Plan,"Numeric [1,10]"
Rating_Weight_4,Flexibility Factor Rating: Location of Technical Services,"Numeric [1,10]"
Rating_Weight_5,Flexibility Factor Rating: Percentage and Orientation of Windows,"Numeric [1,10]"
Rating_Weight_6,Flexibility Factor Rating: Access to Apartment (entrances),"Numeric [1,10]"
Rating_Weight_7,Flexibility Factor Rating: Obstacles in Floor Plan,"Numeric [1,10]"
Rating_Weight_8,Flexibility Factor Rating: Removable Building Elements,"Numeric [1,10]"
Rating_Weight_9,Flexibility Factor Rating: Internal Mobile Partitions,"Numeric [1,10]"
Rating_Weight_10,Flexibility Factor Rating: Percentage of Operable Windows,"Numeric [1,10]"
Rating_Weight_11,Flexibility Factor Rating: Daylight Factor,"Numeric [1,10]"
,,
Ranking_Weight_1,Flexibility Factor Ranking: Structural Modularity,"Numeric [10,1]"
Ranking_Weight_2,Flexibility Factor Ranking: Floor to Ceiling Height,"Numeric [10,1]"
Ranking_Weight_3,Flexibility Factor Ranking: Geometrical Regularity of Plan,"Numeric [10,1]"
Ranking_Weight_4,Flexibility Factor Ranking: Location of Technical Services,"Numeric [10,1]"
Ranking_Weight_5,Flexibility Factor Ranking: Percentage and Orientation of Windows,"Numeric [10,1]"
Ranking_Weight_6,Flexibility Factor Ranking: Access to Apartment (entrances),"Numeric [10,1]"
Ranking_Weight_7,Flexibility Factor Ranking: Obstacles in Floor Plan,"Numeric [10,1]"
Ranking_Weight_8,Flexibility Factor Ranking: Removable Building Elements,"Numeric [10,1]"
Ranking_Weight_9,Flexibility Factor Ranking: Internal Mobile Partitions,"Numeric [10,1]"
Ranking_Weight_10,Flexibility Factor Ranking: Percentage of Operable Windows,"Numeric [10,1]"
Ranking_Weight_11,Flexibility Factor Ranking: Daylight Factor,"Numeric [10,1]"
